State,All,Tornado,Wind,Hail,Year,Month
23,51,2,25,24,4,3
24,178,10,46,122,4,3
26,68,0,17,51,4,3
29,41,7,22,12,4,3
30,2,0,2,0,4,3
31,66,2,62,2,4,3
32,80,4,60,16,4,3
34,113,2,107,4,4,3
35,62,8,2,52,4,3
37,91,2,87,2,4,3
38,1,0,0,1,4,3
39,11,0,8,3,4,3
40,10,0,8,2,4,3
41,18,0,12,6,4,3
42,404,8,114,282,4,3
43,3,0,1,2,4,3
45,71,2,46,23,4,3
47,12,0,10,2,4,3
48,36,1,3,32,4,3
49,3,0,3,0,4,3
0,54,7,43,4,2,11
3,57,17,27,13,2,11
4,1,0,1,0,2,11
5,9,0,9,0,2,11
6,2,0,2,0,2,11
8,8,3,5,0,2,11
9,48,10,30,8,2,11
12,63,9,54,0,2,11
13,47,1,45,1,2,11
14,160,17,140,3,2,11
15,97,0,92,5,2,11
16,124,43,78,3,2,11
17,15,2,13,0,2,11
20,1,0,1,0,2,11
21,9,0,9,0,2,11
22,43,8,35,0,2,11
23,10,2,8,0,2,11
24,112,11,90,11,2,11
25,6,0,6,0,2,11
26,126,30,93,3,2,11
28,2,0,2,0,2,11
29,1,0,1,0,2,11
30,5,0,5,0,2,11
31,24,0,24,0,2,11
32,11,0,11,0,2,11
34,15,1,14,0,2,11
35,13,0,6,7,2,11
36,4,0,4,0,2,11
37,1,0,1,0,2,11
39,3,0,1,2,2,11
41,131,34,95,2,2,11
42,14,1,5,8,2,11
44,1,0,1,0,2,11
45,5,0,5,0,2,11
47,2,0,2,0,2,11
48,42,3,38,1,2,11
0,150,68,66,16,2,2
2,1,0,1,0,2,2
3,49,11,15,23,2,2
4,2,0,2,0,2,2
7,7,0,7,0,2,2
8,24,6,15,3,2,2
9,64,10,47,7,2,2
12,20,3,12,5,2,2
13,13,0,5,8,2,2
14,4,1,2,1,2,2
15,42,2,28,12,2,2
16,23,4,13,6,2,2
17,26,6,15,5,2,2
19,17,0,17,0,2,2
22,3,0,0,3,2,2
23,122,19,82,21,2,2
24,40,4,11,25,2,2
26,5,1,0,4,2,2
27,1,0,0,1,2,2
28,3,0,3,0,2,2
29,20,0,20,0,2,2
30,5,0,3,2,2,2
31,8,0,8,0,2,2
32,51,3,23,25,2,2
34,4,0,1,3,2,2
35,25,1,13,11,2,2
37,13,0,13,0,2,2
39,32,0,23,9,2,2
41,96,5,32,59,2,2
42,223,43,77,103,2,2
44,6,2,4,0,2,2
45,30,1,15,14,2,2
46,1,1,0,0,2,2
47,12,0,2,10,2,2
0,58,0,48,10,4,4
2,5,0,3,2,4,4
3,19,2,13,4,4,4
4,4,2,2,0,4,4
5,109,17,16,76,4,4
8,49,1,32,16,4,4
9,21,0,13,8,4,4
11,32,4,19,9,4,4
12,124,9,60,55,4,4
13,22,5,6,11,4,4
14,123,20,34,69,4,4
15,229,18,96,115,4,4
16,76,2,52,22,4,4
17,37,8,29,0,4,4
18,1,1,0,0,4,4
22,27,4,3,20,4,4
23,71,0,63,8,4,4
24,130,5,40,85,4,4
25,15,1,4,10,4,4
26,212,50,68,94,4,4
27,19,2,14,3,4,4
30,115,9,37,69,4,4
32,86,1,63,22,4,4
33,23,0,3,20,4,4
34,1,0,1,0,4,4
35,69,9,23,37,4,4
36,13,0,6,7,4,4
39,23,0,15,8,4,4
40,52,3,14,35,4,4
41,44,0,30,14,4,4
42,425,15,173,237,4,4
43,17,0,15,2,4,4
45,54,3,47,4,4,4
46,13,1,5,7,4,4
47,2,0,2,0,4,4
48,4,0,0,4,4,4
49,51,7,12,32,4,4
0,17,5,12,0,0,0
3,2,0,1,1,0,0
4,6,3,2,1,0,0
8,28,2,26,0,0,0
9,4,1,3,0,0,0
17,5,1,3,1,0,0
20,1,0,1,0,0,0
23,39,4,34,1,0,0
34,7,1,2,4,0,0
37,6,1,1,4,0,0
39,2,0,2,0,0,0
41,2,0,2,0,0,0
42,4,0,4,0,0,0
45,2,0,2,0,0,0
49,1,0,1,0,0,0
0,146,7,139,0,1,0
3,57,10,46,1,1,0
5,1,0,1,0,1,0
8,15,3,12,0,1,0
9,85,6,79,0,1,0
12,5,1,4,0,1,0
13,5,0,5,0,1,0
16,50,12,37,1,1,0
17,45,3,42,0,1,0
19,1,0,1,0,1,0
23,109,17,92,0,1,0
24,22,6,13,3,1,0
32,52,0,52,0,1,0
34,6,1,5,0,1,0
35,12,2,2,8,1,0
36,1,1,0,0,1,0
39,39,2,37,0,1,0
41,72,4,68,0,1,0
42,101,15,75,11,1,0
45,36,0,36,0,1,0
47,16,0,16,0,1,0
0,37,11,26,0,2,7
2,66,1,56,9,2,7
3,8,0,7,1,2,7
4,15,0,15,0,2,7
5,38,3,17,18,2,7
6,7,1,6,0,2,7
7,4,0,4,0,2,7
8,43,3,40,0,2,7
9,72,7,63,2,2,7
11,18,0,18,0,2,7
12,163,17,139,7,2,7
13,99,0,93,6,2,7
14,113,9,87,17,2,7
15,181,1,111,69,2,7
16,23,0,21,2,2,7
17,3,2,1,0,2,7
18,4,0,4,0,2,7
19,107,0,106,1,2,7
20,25,6,19,0,2,7
21,207,1,201,5,2,7
22,104,4,71,29,2,7
23,19,14,5,0,2,7
24,85,1,77,7,2,7
25,23,0,16,7,2,7
26,141,1,71,69,2,7
27,8,1,7,0,2,7
28,1,0,1,0,2,7
29,25,1,24,0,2,7
30,9,0,8,1,2,7
31,62,0,59,3,2,7
32,142,3,130,9,2,7
33,92,10,24,58,2,7
34,172,4,165,3,2,7
35,20,0,15,5,2,7
36,8,0,5,3,2,7
37,232,7,224,1,2,7
38,1,0,1,0,2,7
39,69,10,59,0,2,7
40,214,2,109,103,2,7
41,44,0,41,3,2,7
42,27,2,17,8,2,7
43,51,0,48,3,2,7
44,3,0,3,0,2,7
45,306,2,296,8,2,7
46,8,0,8,0,2,7
47,46,0,46,0,2,7
48,109,8,86,15,2,7
49,23,0,16,7,2,7
0,24,7,16,1,5,0
3,37,0,26,11,5,0
4,2,0,2,0,5,0
8,97,20,75,2,5,0
9,84,5,78,1,5,0
11,4,0,4,0,5,0
17,20,1,14,5,5,0
19,3,0,3,0,5,0
23,52,3,44,5,5,0
24,5,0,4,1,5,0
31,6,0,6,0,5,0
32,115,3,111,1,5,0
35,1,0,0,1,5,0
36,1,0,1,0,5,0
39,81,4,77,0,5,0
42,27,2,15,10,5,0
45,32,0,32,0,5,0
0,369,11,281,77,4,5
2,1,0,1,0,4,5
3,224,6,131,87,4,5
4,5,0,2,3,4,5
5,217,39,27,151,4,5
6,6,0,2,4,4,5
7,6,0,4,2,4,5
8,243,9,220,14,4,5
9,354,7,311,36,4,5
11,40,1,34,5,4,5
12,211,7,162,42,4,5
13,193,8,118,67,4,5
14,86,1,62,23,4,5
15,217,4,151,62,4,5
