State	All	Tornado	Wind	Hail
AL	339	0	328	11
AZ	48	1	41	6
AR	36	0	29	7
CA	14	2	12	0
CO	119	16	37	66
CT	14	2	12	0
DE	3	0	3	0
FL	48	2	45	1
GA	401	4	391	6
ID	34	0	29	5
IL	76	10	53	13
IN	41	5	31	5
IA	20	3	9	8
KS	157	2	106	49
KY	58	4	50	4
LA	20	0	19	1
ME	24	0	13	11
MD	60	0	53	7
MA	18	6	12	0
MI	85	9	65	11
MN	80	1	35	44
MS	21	0	20	1
MO	92	6	73	13
MT	64	2	61	1
NE	99	1	48	50
NV	11	0	11	0
NH	15	0	8	7
NJ	19	3	16	0
NM	20	1	17	2
NY	124	9	93	22
NC	256	3	240	13
AND	62	3	34	25
OH	139	20	107	12
OK	81	0	69	12
OR	2	0	0	2
PA	182	12	152	18
RI	6	2	4	0
SC	167	7	160	0
SD	65	5	21	39
TN	171	3	164	4
TX	71	3	56	12
UT	36	1	33	2
VT	14	0	8	6
VA	97	0	83	14
WA	1	0	1	0
WV	105	0	93	12
WI	77	0	57	20
WY	15	0	11	4
