State	All	Tornado	Wind	Hail
AL	6	0	6	0
AZ	45	1	37	7
AR	11	0	11	0
CA	5	0	5	0
CO	1	0	1	0
DE	1	0	1	0
FL	32	11	21	0
GA	5	0	5	0
ID	14	0	13	1
IL	42	1	31	10
IN	7	0	7	0
IA	33	0	3	30
KS	60	0	36	24
KY	3	0	3	0
LA	6	0	6	0
MD	4	0	2	2
MA	3	0	3	0
MI	23	0	13	10
MN	10	0	2	8
MS	4	0	4	0
MO	11	0	7	4
MT	36	0	36	0
NE	19	0	7	12
NV	6	0	6	0
NH	9	0	7	2
NJ	1	0	1	0
NM	5	1	4	0
NY	37	2	33	2
NC	10	1	9	0
AND	6	0	0	6
OH	12	1	11	0
OK	6	0	4	2
OR	4	0	4	0
PA	6	0	6	0
SC	2	1	1	0
SD	9	0	3	6
TN	10	0	10	0
TX	45	0	32	13
UT	11	0	11	0
VA	25	0	25	0
WA	1	0	0	1
WV	5	0	4	1
WI	38	0	20	18
WY	2	0	2	0
