State	All	Tornado	Wind	Hail
AL	66	3	58	5
AZ	5	0	5	0
AR	35	0	24	11
CA	6	0	3	3
CO	190	4	157	29
CT	11	0	6	5
DE	4	0	4	0
FL	86	12	67	7
GA	128	0	115	13
ID	25	0	21	4
IL	92	1	81	10
IN	92	0	81	11
IA	114	1	86	27
KS	197	10	114	73
KY	71	0	68	3
LA	28	5	23	0
ME	13	0	9	4
MD	60	0	56	4
MA	52	0	43	9
MI	143	0	138	5
MN	174	14	93	67
MS	108	9	95	4
MO	87	4	73	10
MT	45	0	27	18
NE	278	9	157	112
NV	9	0	9	0
NH	7	0	5	2
NJ	68	0	65	3
NM	34	0	25	9
NY	74	0	63	11
NC	54	1	50	3
AND	220	12	102	106
OH	235	4	223	8
OK	62	0	49	13
OR	4	1	0	3
PA	192	1	178	13
RI	2	0	1	1
SC	96	0	91	5
SD	344	10	200	134
TN	47	3	31	13
TX	194	2	115	77
UT	57	0	48	9
VT	1	0	1	0
VA	117	0	114	3
WA	5	0	0	5
WV	39	0	36	3
WI	101	2	77	22
WY	115	0	90	25
