State	All	Tornado	Wind	Hail
AL	92	0	89	3
AZ	13	4	9	0
AR	21	1	20	0
CA	5	0	0	5
CO	131	18	54	59
CT	17	0	14	3
DE	12	0	12	0
FL	61	2	57	2
GA	112	0	96	16
ID	12	0	12	0
IL	188	12	154	22
IN	117	2	107	8
IA	118	0	74	44
KS	200	3	142	55
KY	74	0	72	2
LA	13	0	12	1
ME	48	2	40	6
MD	98	0	89	9
MA	57	0	56	1
MI	90	0	87	3
MN	251	23	155	73
MS	37	1	36	0
MO	43	1	35	7
MT	149	1	84	64
NE	306	18	205	83
NV	7	0	7	0
NH	38	0	27	11
NJ	89	0	75	14
NM	37	2	26	9
NY	154	2	147	5
NC	151	0	139	12
ND	203	5	132	66
OH	134	0	131	3
OK	160	0	133	27
OR	2	0	1	1
PA	197	0	183	14
RI	5	0	4	1
SC	35	0	34	1
SD	317	4	195	118
TN	84	0	83	1
TX	68	5	53	10
UT	13	0	13	0
VT	15	0	14	1
VA	198	0	188	10
WV	53	0	52	1
WI	110	9	87	14
WY	76	1	22	53
