State	All	Tornado	Wind	Hail
AL	30	0	29	1
AZ	78	2	67	9
AR	14	0	13	1
CA	19	1	18	0
CO	17	2	10	5
CT	16	0	16	0
DE	6	0	6	0
FL	55	2	48	5
GA	51	0	49	2
ID	34	0	22	12
IL	121	3	96	22
IN	76	1	70	5
IA	51	1	27	23
KS	22	2	17	3
KY	28	0	23	5
LA	7	2	5	0
ME	8	0	8	0
MD	56	1	54	1
MA	29	0	29	0
MI	113	0	111	2
MN	66	5	35	26
MS	15	1	13	1
MO	69	0	57	12
MT	42	0	36	6
NE	29	0	7	22
NV	15	0	14	1
NH	43	0	31	12
NJ	5	0	5	0
NM	3	0	1	2
NY	89	0	88	1
NC	66	0	62	4
ND	29	5	12	12
OH	77	0	74	3
OK	30	0	26	4
OR	15	0	9	6
PA	48	1	42	5
RI	1	0	1	0
SC	53	0	52	1
SD	79	0	63	16
TN	41	0	41	0
TX	84	4	73	7
UT	14	2	10	2
VT	19	0	19	0
VA	110	0	106	4
WA	18	0	10	8
WV	21	2	19	0
WI	40	0	37	3
WY	13	0	8	5
