State	All	Tornado	Wind	Hail
AL	28	0	28	0
AZ	96	2	81	13
AR	8	0	7	1
CA	5	0	5	0
CO	63	3	41	19
CT	28	1	25	2
DE	17	2	14	1
FL	25	2	23	0
GA	46	3	42	1
ID	12	0	11	1
IL	82	8	65	9
IN	43	2	41	0
IA	99	37	37	25
KS	91	1	70	20
KY	53	0	52	1
LA	3	0	3	0
ME	8	0	7	1
MD	110	1	101	8
MA	84	0	75	9
MI	72	5	67	0
MN	102	3	56	43
MS	5	0	5	0
MO	79	2	69	8
MT	122	1	86	35
NE	148	2	123	23
NV	58	1	57	0
NH	47	0	29	18
NJ	132	8	111	13
NM	45	2	22	21
NY	281	1	261	19
NC	107	3	101	3
AND	84	0	50	34
OH	102	11	86	5
OK	53	0	49	4
PA	390	16	352	22
RI	2	0	2	0
SC	42	5	37	0
SD	135	0	73	62
TN	36	0	36	0
TX	84	4	66	14
UT	44	3	37	4
VT	18	0	18	0
VA	187	4	175	8
WA	3	0	3	0
WV	33	0	32	1
WI	144	14	112	18
WY	44	1	21	22
