State	All	Tornado	Wind	Hail
AL	37	2	28	7
AR	40	1	12	27
CA	21	2	16	3
CO	1	1	0	0
FL	23	1	9	13
GA	35	3	17	15
ID	2	0	2	0
IL	104	8	29	67
IN	70	5	26	39
IA	14	0	0	14
KS	78	8	7	63
KY	31	1	23	7
LA	29	1	17	11
ME	1	0	1	0
MD	1	0	1	0
MS	29	4	21	4
MO	153	2	51	100
NE	4	0	2	2
NV	2	0	2	0
NY	1	0	1	0
OH	61	15	20	26
OK	69	2	3	64
OR	1	1	0	0
PA	2	0	0	2
SC	3	0	2	1
TN	7	0	5	2
TX	101	8	30	63
UT	16	0	16	0
VA	3	0	1	2
WA	1	1	0	0
WV	6	0	4	2
WI	5	0	2	3
