State	All	Tornado	Wind	Hail
AL	18	0	15	3
AZ	1	0	1	0
AR	10	1	5	4
CA	41	3	37	1
FL	29	9	9	11
GA	30	2	26	2
ID	2	0	2	0
IL	59	12	12	35
IN	25	2	19	4
IA	1	0	0	1
KS	2	1	1	0
KY	50	1	36	13
LA	29	0	8	21
MI	11	3	1	7
MS	15	0	6	9
MO	3	0	0	3
NY	4	1	3	0
NC	4	0	4	0
OH	45	11	25	9
OK	2	0	1	1
OR	1	0	1	0
PA	4	0	4	0
SC	23	0	23	0
TN	8	0	7	1
TX	60	3	15	42
VA	11	0	11	0
WV	10	0	10	0
WI	12	3	3	6
