State	All	Tornado	Wind	Hail
AL	369	11	281	77
AZ	1	0	1	0
AR	224	6	131	87
CA	5	0	2	3
CO	217	39	27	151
CT	6	0	2	4
DE	6	0	4	2
FL	243	9	220	14
GA	354	7	311	36
ID	40	1	34	5
IL	211	7	162	42
IN	193	8	118	67
IA	86	1	62	23
KS	217	4	151	62
KY	174	3	133	38
LA	188	0	129	59
ME	7	0	7	0
MD	27	0	16	11
MA	11	0	9	2
MI	84	1	64	19
MN	42	15	19	8
MS	333	24	221	88
MO	106	2	75	29
MT	27	1	12	14
NE	157	14	72	71
NV	16	1	15	0
NH	17	0	12	5
NJ	44	2	39	3
NM	62	2	13	47
NY	54	0	35	19
NC	145	0	113	32
AND	64	1	39	24
OH	65	12	41	12
OK	315	14	207	94
OR	2	1	0	1
PA	118	3	97	18
RI	3	0	3	0
SC	92	0	85	7
SD	132	1	73	58
TN	155	5	120	30
TX	701	26	298	377
UT	32	0	29	3
VT	3	0	3	0
VA	168	1	108	59
WA	18	0	18	0
WV	22	0	19	3
WI	11	1	3	7
WY	74	20	11	43
