State	All	Tornado	Wind	Hail
AL	76	0	76	0
AZ	17	0	16	1
AR	36	1	33	2
CA	7	0	5	2
CO	97	14	18	65
CT	21	0	21	0
DE	20	0	16	4
FL	16	1	15	0
GA	82	0	77	5
ID	10	0	3	7
IL	91	2	80	9
IN	80	1	75	4
IA	58	5	49	4
KS	339	8	241	90
KY	46	0	42	4
LA	1	0	1	0
ME	12	1	9	2
MD	88	0	81	7
MA	45	0	40	5
MI	48	1	40	7
MN	92	15	38	39
MS	8	1	6	1
MO	134	0	112	22
MT	89	1	43	45
NE	168	6	91	71
NV	5	0	5	0
NH	18	0	16	2
NJ	70	3	62	5
NM	11	0	5	6
NY	263	2	233	28
NC	186	1	175	10
AND	85	1	22	62
OH	157	1	141	15
OK	94	2	73	19
OR	12	0	6	6
PA	178	0	156	22
RI	5	0	5	0
SC	70	0	60	10
SD	182	3	86	93
TN	67	0	63	4
TX	89	0	68	21
UT	6	0	6	0
VT	11	1	10	0
VA	273	1	255	17
WA	6	0	3	3
WV	50	0	43	7
WI	71	1	51	19
WY	75	2	21	52
