State	All	Tornado	Wind	Hail
AL	39	0	29	10
AZ	1	0	1	0
AR	110	9	64	37
CA	4	1	2	1
CO	42	7	13	22
CT	2	0	2	0
DE	2	0	2	0
FL	49	3	28	18
GA	61	0	51	10
ID	32	0	31	1
IL	92	21	60	11
IN	27	0	21	6
IA	43	12	25	6
KS	194	11	71	112
KY	39	0	38	1
LA	57	9	33	15
ME	2	0	2	0
MD	3	0	3	0
MA	24	0	23	1
MI	6	0	6	0
MN	6	2	4	0
MS	62	0	46	16
MO	185	7	112	66
MT	88	1	62	25
NE	52	2	27	23
NV	1	0	1	0
NH	18	0	18	0
NM	3	0	1	2
NY	104	2	99	3
NC	37	3	32	2
AND	3	1	0	2
OH	79	2	71	6
OK	213	12	93	108
OR	42	0	21	21
PA	30	0	28	2
SC	112	7	71	34
SD	50	0	6	44
TN	133	1	111	21
TX	476	22	205	249
UT	13	0	13	0
VT	20	0	20	0
VA	13	0	12	1
WA	25	0	25	0
WV	4	0	4	0
WI	21	5	10	6
WY	21	0	10	11
