State	All	Tornado	Wind	Hail
AL	74	4	53	17
AR	130	3	93	34
CA	1	0	0	1
CO	26	1	21	4
CT	10	0	10	0
DE	6	0	5	1
FL	81	8	53	20
GA	99	0	89	10
ID	17	1	16	0
IL	64	11	38	15
IN	98	6	74	18
IA	64	1	49	14
KS	181	11	84	86
KY	111	3	68	40
LA	40	1	30	9
ME	17	0	13	4
MD	58	2	50	6
MA	22	0	22	0
MI	32	2	12	18
MN	575	51	335	189
MS	96	2	72	22
MO	114	6	56	52
MT	13	0	13	0
NE	193	8	114	71
NV	10	0	10	0
NH	28	1	17	10
NJ	21	1	13	7
NM	18	0	6	12
NY	86	0	74	12
NC	284	11	208	65
ND	38	4	18	16
OH	119	2	96	21
OK	211	6	99	106
OR	7	3	0	4
PA	93	4	79	10
SC	129	6	92	31
SD	260	19	181	60
TN	105	0	60	45
TX	485	23	255	207
UT	2	0	2	0
VT	14	0	12	2
VA	218	6	188	24
WA	7	2	5	0
WV	26	0	24	2
WI	105	7	43	55
WY	12	0	10	2
