State	All	Tornado	Wind	Hail
AL	62	20	39	3
AR	46	19	24	3
CA	4	1	3	0
CO	1	0	1	0
FL	19	0	18	1
GA	19	2	17	0
IL	35	1	32	2
IA	5	0	3	2
KS	1	0	0	1
KY	7	0	0	7
LA	36	7	25	4
ME	2	0	2	0
MD	2	0	2	0
MI	1	0	1	0
MS	63	25	27	11
MO	5	0	5	0
NH	4	0	4	0
NY	3	0	3	0
OH	4	0	3	1
OK	21	11	8	2
PA	15	0	11	4
TN	4	0	1	3
TX	55	30	10	15
VA	4	1	3	0
WA	8	0	8	0
WV	3	0	3	0
WI	25	0	19	6
