State	All	Tornado	Wind	Hail
AL	16	0	16	0
AZ	49	4	37	8
AR	10	0	9	1
CA	12	1	10	1
CO	49	4	15	30
CT	6	1	4	1
DE	1	0	0	1
FL	9	0	9	0
GA	39	0	34	5
ID	9	0	5	4
IL	50	2	29	19
IN	14	0	13	1
IA	81	6	54	21
KS	54	3	18	33
LA	11	1	9	1
ME	4	0	0	4
MD	4	0	4	0
MA	5	0	5	0
MI	51	0	41	10
MN	98	4	68	26
MS	13	0	13	0
MO	26	0	5	21
MT	18	0	11	7
NE	105	2	28	75
NV	8	0	7	1
NJ	5	0	5	0
NM	8	0	3	5
NY	17	1	14	2
NC	49	33	9	7
AND	79	0	36	43
OH	48	0	41	7
OK	15	0	13	2
OR	4	1	2	1
PA	37	0	32	5
SC	25	3	18	4
SD	66	6	30	30
TN	14	0	13	1
TX	32	4	25	3
UT	5	0	4	1
VT	1	0	0	1
VA	77	0	73	4
WA	1	0	0	1
WV	3	0	3	0
WI	39	2	29	8
WY	29	9	8	12
