State	All	Tornado	Wind	Hail
AL	163	49	103	11
AZ	1	0	1	0
AR	23	6	15	2
CA	48	2	46	0
FL	34	5	29	0
GA	154	33	117	4
IL	14	10	1	3
IN	3	0	1	2
IA	3	2	0	1
KY	45	7	27	11
LA	58	17	34	7
MS	51	5	33	13
MO	1	0	1	0
NC	55	2	53	0
OH	24	0	23	1
OK	11	5	2	4
PA	1	0	1	0
SC	36	7	29	0
TN	40	4	32	4
TX	19	12	4	3
VA	9	2	7	0
WV	1	0	0	1
