State	All	Tornado	Wind	Hail
AL	150	68	66	16
AZ	1	0	1	0
AR	49	11	15	23
CA	2	0	2	0
DE	7	0	7	0
FL	24	6	15	3
GA	64	10	47	7
IL	20	3	12	5
IN	13	0	5	8
IA	4	1	2	1
KS	42	2	28	12
KY	23	4	13	6
LA	26	6	15	5
MD	17	0	17	0
MN	3	0	0	3
MS	122	19	82	21
MO	40	4	11	25
NE	5	1	0	4
NV	1	0	0	1
NH	3	0	3	0
NJ	20	0	20	0
NM	5	0	3	2
NY	8	0	8	0
NC	51	3	23	25
OH	4	0	1	3
OK	25	1	13	11
PA	13	0	13	0
SC	32	0	23	9
TN	96	5	32	59
TX	223	43	77	103
VT	6	2	4	0
VA	30	1	15	14
WA	1	1	0	0
WV	12	0	2	10
