State	All	Tornado	Wind	Hail
AL	3	2	1	0
AR	1	0	1	0
CO	1	0	1	0
CT	9	0	9	0
FL	1	0	1	0
GA	17	7	10	0
IL	1	0	1	0
IN	16	0	10	6
IA	15	0	13	2
KS	1	0	1	0
KY	7	0	6	1
ME	3	0	1	2
MA	51	1	50	0
MI	14	0	12	2
MN	7	0	5	2
MS	7	3	4	0
MO	1	0	1	0
NE	39	0	32	7
NH	12	0	10	2
NY	65	1	63	1
NC	3	1	2	0
OH	18	0	14	4
RI	4	0	4	0
SC	8	3	5	0
SD	4	0	0	4
TN	3	0	1	2
TX	3	0	3	0
VT	8	0	8	0
WA	1	1	0	0
WI	1	0	0	1
