State	All	Tornado	Wind	Hail
AL	80	0	76	4
AZ	70	0	59	11
AR	49	0	36	13
CA	10	0	9	1
CO	93	19	34	40
CT	23	1	22	0
DE	8	0	7	1
FL	29	0	28	1
GA	78	0	76	2
ID	32	0	27	5
IL	151	5	126	20
IN	78	0	71	7
IA	89	3	80	6
KS	63	9	44	10
KY	117	0	116	1
LA	15	0	11	4
ME	41	0	35	6
MD	119	2	114	3
MA	35	0	33	2
MI	50	1	43	6
MN	128	6	81	41
MS	65	0	64	1
MO	55	0	53	2
MT	276	2	140	134
NE	138	2	105	31
NV	25	1	24	0
NH	89	1	62	26
NJ	21	0	19	2
NM	13	0	10	3
NY	201	2	191	8
NC	212	0	210	2
ND	235	2	176	57
OH	122	7	112	3
OK	43	1	37	5
OR	12	0	5	7
PA	146	0	133	13
RI	3	0	3	0
SC	89	0	87	2
SD	203	0	152	51
TN	108	0	93	15
TX	85	1	76	8
UT	45	1	43	1
VT	47	2	38	7
VA	289	3	271	15
WA	7	0	4	3
WV	126	0	120	6
WI	96	1	89	6
WY	50	0	35	15
