State	All	Tornado	Wind	Hail
AL	144	0	129	15
AZ	16	2	13	1
AR	20	0	19	1
CA	3	0	3	0
CO	106	17	22	67
CT	2	0	1	1
DE	3	0	3	0
FL	109	4	98	7
GA	201	0	175	26
ID	20	0	2	18
IL	132	1	116	15
IN	94	2	82	10
IA	62	2	39	21
KS	249	20	150	79
KY	162	0	160	2
LA	37	1	26	10
ME	10	0	3	7
MD	69	1	60	8
MI	52	0	41	11
MN	244	11	156	77
MS	56	2	48	6
MO	93	1	80	12
MT	61	0	47	14
NE	359	11	149	199
NV	6	0	6	0
NH	5	0	1	4
NJ	15	1	14	0
NM	37	1	17	19
NY	50	0	40	10
NC	190	2	166	22
AND	150	8	94	48
OH	349	16	306	27
OK	74	0	55	19
OR	1	1	0	0
PA	109	0	99	10
RI	1	0	1	0
SC	181	1	170	10
SD	276	6	181	89
TN	69	1	56	12
TX	131	0	112	19
UT	54	1	52	1
VT	1	0	0	1
VA	325	2	310	13
WA	14	0	8	6
WV	186	0	169	17
WI	110	12	78	20
WY	44	1	15	28
