State	All	Tornado	Wind	Hail
AL	35	3	26	6
AR	80	1	29	50
CO	9	4	5	0
DE	10	3	6	1
FL	157	14	100	43
GA	69	3	49	17
IL	210	22	81	107
IN	34	3	31	0
IA	100	6	11	83
KS	123	4	49	70
KY	42	6	36	0
LA	59	1	33	25
MD	54	2	42	10
MA	1	0	1	0
MI	17	1	7	9
MN	2	0	0	2
MS	51	2	25	24
MO	178	10	46	122
NE	68	0	17	51
NJ	41	7	22	12
NM	2	0	2	0
NY	66	2	62	2
NC	80	4	60	16
OH	113	2	107	4
OK	62	8	2	52
PA	91	2	87	2
RI	1	0	0	1
SC	11	0	8	3
SD	10	0	8	2
TN	18	0	12	6
TX	404	8	114	282
UT	3	0	1	2
VA	71	2	46	23
WV	12	0	10	2
WI	36	1	3	32
WY	3	0	3	0
