State	All	Tornado	Wind	Hail
AL	54	7	43	4
AR	57	17	27	13
CA	1	0	1	0
CO	9	0	9	0
CT	2	0	2	0
FL	8	3	5	0
GA	48	10	30	8
IL	63	9	54	0
IN	47	1	45	1
IA	160	17	140	3
KS	97	0	92	5
KY	124	43	78	3
LA	15	2	13	0
MA	1	0	1	0
MI	9	0	9	0
MN	43	8	35	0
MS	10	2	8	0
MO	112	11	90	11
MT	6	0	6	0
NE	126	30	93	3
NH	2	0	2	0
NJ	1	0	1	0
NM	5	0	5	0
NY	24	0	24	0
NC	11	0	11	0
OH	15	1	14	0
OK	13	0	6	7
OR	4	0	4	0
PA	1	0	1	0
SC	3	0	1	2
TN	131	34	95	2
TX	14	1	5	8
VT	1	0	1	0
VA	5	0	5	0
WV	2	0	2	0
WI	42	3	38	1
