State	All	Tornado	Wind	Hail
AL	161	1	154	6
AZ	2	0	1	1
AR	92	3	83	6
CA	5	2	1	2
CO	100	9	31	60
CT	13	0	12	1
DE	11	0	7	4
FL	68	0	65	3
GA	269	0	259	10
ID	21	2	17	2
IL	234	11	184	39
IN	170	17	127	26
IA	157	8	105	44
KS	282	20	136	126
KY	240	15	213	12
LA	95	25	67	3
ME	6	0	4	2
MD	78	1	67	10
MA	13	0	10	3
MI	29	0	16	13
MN	159	9	96	54
MS	126	6	118	2
MO	206	1	162	43
MT	125	3	71	51
NE	163	1	82	80
NV	5	0	5	0
NH	10	0	9	1
NJ	58	2	50	6
NM	81	4	23	54
NY	66	0	60	6
NC	134	1	130	3
ND	57	2	32	23
OH	140	12	103	25
OK	136	6	87	43
OR	5	1	3	1
PA	150	2	135	13
RI	7	0	3	4
SC	213	0	206	7
SD	96	7	35	54
TN	234	7	219	8
TX	497	14	269	214
UT	30	0	29	1
VT	11	0	11	0
VA	154	0	140	14
WA	2	0	2	0
WV	64	3	43	18
WI	89	4	78	7
WY	55	7	17	31
