State	All	Tornado	Wind	Hail
AL	59	4	51	4
AZ	1	1	0	0
AR	104	17	76	11
CA	10	1	5	4
CO	84	22	8	54
DE	17	0	16	1
FL	70	1	60	9
GA	57	1	52	4
ID	14	3	9	2
IL	218	20	146	52
IN	191	14	145	32
IA	89	27	37	25
KS	469	87	185	197
KY	64	0	49	15
LA	95	25	63	7
ME	1	0	1	0
MD	89	3	80	6
MA	3	0	3	0
MI	27	1	22	4
MN	20	5	8	7
MS	49	2	46	1
MO	257	43	150	64
MT	15	0	6	9
NE	185	30	30	125
NV	1	1	0	0
NJ	28	1	18	9
NM	47	11	18	18
NY	63	0	55	8
NC	173	4	102	67
AND	40	3	17	20
OH	187	35	115	37
OK	293	63	127	103
OR	1	1	0	0
PA	322	16	214	92
RI	2	0	2	0
SC	27	0	20	7
SD	12	0	2	10
TN	41	3	25	13
TX	654	109	202	343
UT	3	0	3	0
VT	1	0	1	0
VA	180	1	157	22
WA	1	0	0	1
WV	106	0	81	25
WI	10	0	8	2
WY	25	1	1	23
