State	All	Tornado	Wind	Hail
AL	37	11	26	0
AZ	66	1	56	9
AR	8	0	7	1
CA	15	0	15	0
CO	38	3	17	18
CT	7	1	6	0
DE	4	0	4	0
FL	43	3	40	0
GA	72	7	63	2
ID	18	0	18	0
IL	163	17	139	7
IN	99	0	93	6
IA	113	9	87	17
KS	181	1	111	69
KY	23	0	21	2
LA	3	2	1	0
ME	4	0	4	0
MD	107	0	106	1
MA	25	6	19	0
MI	207	1	201	5
MN	104	4	71	29
MS	19	14	5	0
MO	85	1	77	7
MT	23	0	16	7
NE	141	1	71	69
NV	8	1	7	0
NH	1	0	1	0
NJ	25	1	24	0
NM	9	0	8	1
NY	62	0	59	3
NC	142	3	130	9
ND	92	10	24	58
OH	172	4	165	3
OK	20	0	15	5
OR	8	0	5	3
PA	232	7	224	1
RI	1	0	1	0
SC	69	10	59	0
SD	214	2	109	103
TN	44	0	41	3
TX	27	2	17	8
UT	51	0	48	3
VT	3	0	3	0
VA	306	2	296	8
WA	8	0	8	0
WV	46	0	46	0
WI	109	8	86	15
WY	23	0	16	7
