State	All	Tornado	Wind	Hail
AL	99	19	62	18
AR	139	21	59	59
CA	2	1	1	0
CO	18	0	18	0
CT	1	0	1	0
DE	1	0	0	1
FL	77	5	49	23
GA	119	48	54	17
ID	1	0	1	0
IL	45	6	20	19
IN	12	1	11	0
IA	97	11	52	34
KS	200	25	94	81
KY	77	13	61	3
LA	70	7	56	7
MI	10	0	8	2
MN	61	4	12	45
MS	222	36	144	42
MO	79	1	27	51
NE	143	10	72	61
NJ	4	0	3	1
NM	6	0	1	5
NY	11	1	10	0
NC	54	0	42	12
AND	5	1	2	2
OH	10	1	9	0
OK	76	1	22	53
OR	1	0	1	0
PA	7	0	7	0
SC	85	20	54	11
SD	70	2	17	51
TN	59	0	53	6
TX	195	11	81	103
UT	3	0	3	0
VA	32	1	20	11
WA	5	0	5	0
WV	1	0	1	0
WI	19	0	5	14
WY	5	0	2	3
