State	All	Tornado	Wind	Hail
AL	9	0	8	1
AZ	15	1	12	2
AR	23	0	21	2
CA	5	0	5	0
CO	2	0	2	0
CT	17	0	16	1
DE	6	1	3	2
FL	43	2	36	5
GA	46	0	37	9
ID	3	0	3	0
IL	10	0	8	2
IN	3	0	0	3
IA	7	2	1	4
KS	64	3	20	41
KY	16	0	7	9
LA	54	0	52	2
ME	6	0	6	0
MD	61	0	49	12
MA	40	0	37	3
MI	3	0	3	0
MN	44	3	32	9
MS	39	0	34	5
MO	75	0	42	33
MT	6	0	4	2
NE	63	0	21	42
NV	15	0	14	1
NH	20	0	14	6
NJ	41	0	30	11
NM	23	0	15	8
NY	90	0	81	9
NC	53	1	47	5
AND	23	0	20	3
OK	86	0	40	46
OR	2	0	1	1
PA	81	0	73	8
RI	1	0	1	0
SC	48	0	41	7
SD	48	5	28	15
TN	15	0	12	3
TX	202	1	138	63
UT	11	2	8	1
VT	9	0	8	1
VA	101	0	85	16
WA	3	0	3	0
WV	18	0	14	4
WI	3	1	1	1
WY	24	0	2	22
