State	All	Tornado	Wind	Hail
AL	35	0	35	0
AZ	18	1	16	1
AR	13	0	13	0
CA	3	0	3	0
CO	115	2	31	82
CT	13	0	12	1
DE	6	0	6	0
FL	56	1	49	6
GA	50	0	48	2
ID	18	0	13	5
IL	48	0	45	3
IN	39	0	38	1
IA	76	3	68	5
KS	110	3	85	22
KY	46	0	44	2
LA	13	4	9	0
ME	41	0	32	9
MD	116	0	116	0
MA	66	3	60	3
MI	121	0	116	5
MN	231	21	144	66
MS	31	2	28	1
MO	31	0	29	2
MT	170	2	83	85
NE	119	5	61	53
NV	1	0	1	0
NH	12	0	8	4
NJ	96	2	91	3
NM	8	2	4	2
NY	158	0	153	5
NC	129	1	120	8
ND	135	8	56	71
OH	164	0	160	4
OK	35	0	22	13
OR	1	1	0	0
PA	189	0	188	1
RI	3	0	3	0
SC	94	0	93	1
SD	311	7	189	115
TN	12	0	11	1
TX	58	2	39	17
UT	9	0	9	0
VT	16	0	16	0
VA	228	0	222	6
WA	9	0	9	0
WV	31	0	28	3
WI	163	23	130	10
WY	132	10	47	75
