State	All	Tornado	Wind	Hail
AL	127	23	93	11
AR	32	3	18	11
CA	3	1	2	0
CO	12	0	11	1
CT	2	0	1	1
DE	14	1	13	0
FL	113	2	107	4
GA	145	11	127	7
ID	1	0	1	0
IL	17	2	3	12
IN	13	0	11	2
IA	18	0	10	8
KS	128	6	63	59
KY	21	2	18	1
LA	162	19	105	38
MD	63	2	61	0
MA	16	0	14	2
MN	5	0	0	5
MS	235	71	149	15
MO	109	40	42	27
MT	2	0	2	0
NE	30	0	12	18
NV	1	0	1	0
NJ	26	0	26	0
NM	5	0	1	4
NY	27	1	22	4
NC	225	17	201	7
OH	66	7	56	3
OK	95	21	45	29
PA	107	14	79	14
SC	106	6	99	1
SD	1	0	1	0
TN	19	0	14	5
TX	343	34	140	169
UT	4	0	3	1
VA	185	19	163	3
WA	1	0	1	0
WV	47	0	40	7
WI	3	0	1	2
WY	8	1	6	1
