State	All	Tornado	Wind	Hail
AL	58	0	48	10
AZ	5	0	3	2
AR	19	2	13	4
CA	4	2	2	0
CO	109	17	16	76
FL	49	1	32	16
GA	21	0	13	8
ID	32	4	19	9
IL	124	9	60	55
IN	22	5	6	11
IA	123	20	34	69
KS	229	18	96	115
KY	76	2	52	22
LA	37	8	29	0
ME	1	1	0	0
MN	27	4	3	20
MS	71	0	63	8
MO	130	5	40	85
MT	15	1	4	10
NE	212	50	68	94
NV	19	2	14	3
NM	115	9	37	69
NC	86	1	63	22
ND	23	0	3	20
OH	1	0	1	0
OK	69	9	23	37
OR	13	0	6	7
SC	23	0	15	8
SD	52	3	14	35
TN	44	0	30	14
TX	425	15	173	237
UT	17	0	15	2
VA	54	3	47	4
WA	13	1	5	7
WV	2	0	2	0
WI	4	0	0	4
WY	51	7	12	32
